helper_Id,dept_Id,FName,LName,Gender,contact_No
-0.05455960725837097,-0.9973802088469973,168,16,1,1375
-1.3154927527851665,0.35438876632399535,196,0,0,499
-0.312635209845586,-0.4341431358590837,146,25,0,512
-0.5326056899031452,-0.6594379650542491,20,26,1,1509
-1.0037235684516181,1.706157741494988,132,51,1,175
0.14809036255843547,0.8049784247143262,4,8,1,127
1.7294529475391558,-1.6732646964324938,11,22,1,1425
-1.098986374775758,-1.2226750380421627,78,27,0,978
0.03897114804169355,0.46703618092157806,166,48,0,364
0.41655827129010214,-0.5467905504566665,13,43,1,853
-0.7127389964069731,0.8049784247143262,60,11,0,568
-0.4563954448438333,-1.5606172818349109,65,29,1,262
1.318956854833317,1.706157741494988,105,49,1,359
-0.10132498490840322,-1.4479698672373282,20,27,1,857
-1.6082093758538871,0.016446522531247166,30,30,0,17
0.705810792310672,-1.2226750380421627,11,2,0,973
-1.2825837833277365,1.1429206685070743,162,18,1,1
-1.6428503963353924,0.5796835955191608,45,42,0,763
-1.3882388957963279,0.46703618092157806,67,33,0,1606
1.3657222324833493,0.5796835955191608,151,53,0,935
-0.6053518329143064,0.35438876632399535,190,10,0,1354
-1.1561440585702418,1.706157741494988,14,34,1,118
0.6226723431550591,-0.20884830666391827,2,53,1,1933
-0.7040787412865968,-1.11002762344458,30,21,0,884
0.6780979759254677,0.24174135172641262,151,22,0,1755
1.3865068447722526,-1.5606172818349109,2,22,0,1668
0.544730047071672,-1.2226750380421627,22,53,0,1764
0.19312368918439246,0.35438876632399535,13,2,0,1896
0.011258331656489247,-1.2226750380421627,116,52,1,1477
0.5655146593605752,1.5935103268974053,11,43,1,1986
-0.9933312623071666,0.5796835955191608,55,30,1,685
0.9673504969460376,-0.7720853796518319,22,41,0,1767
0.5083569755660914,-0.09620089206633556,151,22,1,212
-0.7092748943588225,-1.2226750380421627,61,32,1,854
1.6584388555520697,-0.6594379650542491,58,49,1,781
1.6913478250095,1.3682154977022398,13,2,1,531
0.2294967606899731,0.35438876632399535,2,43,1,1086
-0.025114739849091395,-0.9973802088469973,68,15,1,38
-1.0418286909812742,-0.321495721261501,9,7,0,411
0.8859440988145,1.5935103268974053,2,2,0,1135
-0.976010752066414,1.1429206685070743,107,12,1,87
-1.3986312019407794,-1.2226750380421627,63,14,0,894
0.7543082209847796,0.5796835955191608,11,49,0,1790
-0.6677056697810161,0.917625839311909,101,34,1,393
0.8547671803811451,-0.321495721261501,58,22,0,1103
-0.7335236086958763,-1.3353224526397456,168,15,1,78
-0.023382688825016127,0.46703618092157806,59,38,1,10
0.7491120679125537,-1.4479698672373282,105,22,0,1774
-0.5083569755660914,-0.5467905504566665,125,28,0,1220
0.44773518972345694,-1.11002762344458,105,49,0,1752
-1.4869658041686182,1.5935103268974053,77,37,1,1461
0.6192082411069085,0.12909393712882988,13,2,1,1935
-1.7277208965150805,-0.321495721261501,51,31,1,248
0.38364930183267204,-0.9973802088469973,22,43,1,1277
1.5060183654334462,-0.4341431358590837,13,53,1,581
1.0782017624868547,-1.11002762344458,58,2,1,1932
-1.144019701401715,0.5796835955191608,40,18,1,375
1.3328132630259193,-0.5467905504566665,58,22,1,644
0.9292453744163817,-1.5606172818349109,2,53,0,962
-0.8946043539348763,-0.4341431358590837,128,29,0,353
-1.272191477183285,-0.4341431358590837,51,27,1,124
-1.07993381351093,0.46703618092157806,184,25,0,141
-0.44773518972345694,1.0302732539094916,152,9,0,1516
0.023382688825016127,0.8049784247143262,59,9,1,270
-0.9708145989941881,0.5796835955191608,13,33,1,1355
-1.2617991710388332,0.12909393712882988,104,9,1,1342
-1.4124876101333816,0.5796835955191608,114,45,0,170
-0.10478908695655376,-1.11002762344458,47,36,1,1110
-1.3085645486888655,-0.6594379650542491,98,13,1,1108
-0.11864549514915591,-0.09620089206633556,152,23,0,746
-0.9604222928497365,-1.6732646964324938,29,9,1,1157
-0.6988825882143709,-0.9973802088469973,164,21,0,1235
-0.3160993118937365,0.6923310101167435,41,56,1,155
0.4719839040605107,-1.5606172818349109,58,22,1,761
1.1717325177869193,1.3682154977022398,13,41,0,1096
-0.8894082008626505,1.3682154977022398,2,48,1,1078
-0.5533903021920483,1.2555680831046572,20,30,1,277
-1.0123838235719946,0.5796835955191608,96,15,1,410
-1.2583350689906827,-1.5606172818349109,4,32,1,198
0.8166620578514892,-1.2226750380421627,2,2,0,1943
1.4367363244704354,1.1429206685070743,22,22,0,1547
0.7872171904422096,1.2555680831046572,151,22,0,1387
-1.298172242544414,1.1429206685070743,102,7,0,115
-1.0158479256201451,0.24174135172641262,133,10,1,1511
0.6677056697810161,-1.5606172818349109,13,2,1,1132
0.5326056899031452,0.12909393712882988,11,43,0,1898
-0.49276851634941393,-0.7720853796518319,37,1,0,731
-1.1942491810998979,-1.5606172818349109,131,45,0,1176
-0.12730575026953225,0.35438876632399535,54,31,0,352
-1.0712735583905537,-0.321495721261501,18,20,0,288
0.9794748541145645,-1.2226750380421627,13,22,0,1849
-0.9950633133312419,-0.9973802088469973,124,22,0,1436
1.5146786205538225,-1.6732646964324938,13,43,1,1915
