dept_Id,dept_Name
1.0062305898749053,16
-0.33541019662496846,23
-1.6770509831248421,2
-1.2298373876248843,25
0.11180339887498948,29
-1.118033988749895,8
-0.22360679774997896,24
-0.4472135954999579,5
0.7826237921249264,27
-1.5652475842498528,18
-1.4534441853748632,10
1.118033988749895,1
-1.3416407864998738,17
0.6708203932499369,19
1.2298373876248843,15
0.33541019662496846,20
1.6770509831248421,12
0.5590169943749475,7
-0.8944271909999159,22
-0.5590169943749475,4
-0.11180339887498948,30
1.4534441853748632,9
0.4472135954999579,0
-1.0062305898749053,11
