nurse_Id,dept_Id,FName,LName,Gender,conatct_No
-0.05455960725837097,-1.0763156017773161,37,36,0,1693
-1.3154927527851665,0.13031623878021345,22,41,1,1016
-0.312635209845586,0.8981728645895504,79,1,1,1962
-0.5326056899031452,0.2400100424672616,79,18,0,1323
-1.0037235684516181,1.5563356867118392,130,37,1,76
0.14809036255843547,0.45939764984135784,65,34,0,665
1.7294529475391558,-1.1860094054643642,72,1,1,1620
-1.098986374775758,0.7884790609025023,13,13,0,23
0.03897114804169355,0.6787852572154541,26,36,1,315
0.41655827129010214,-0.6375403870291235,65,34,1,304
-0.7127389964069731,-1.6247846202125567,9,36,0,1277
-0.4563954448438333,-0.7472341907161717,65,36,1,869
1.318956854833317,0.7884790609025023,37,1,1,900
-0.10132498490840322,-0.8569279944032198,37,34,0,787
-1.6082093758538871,-1.2957032091514122,110,17,0,1329
0.705810792310672,-1.1860094054643642,65,36,1,360
-1.2825837833277365,0.13031623878021345,7,20,0,1161
-1.6428503963353924,-1.4053970128384605,142,43,0,521
-1.3882388957963279,-0.41815277965502723,6,38,0,873
1.3657222324833493,1.5563356867118392,9,18,1,1397
-0.6053518329143064,0.6787852572154541,26,34,0,537
-1.1561440585702418,0.569091453528406,84,17,1,1006
0.6226723431550591,-0.3084589759679791,79,1,1,159
-0.7040787412865968,1.0078666682765987,26,18,1,1242
0.6780979759254677,-1.0763156017773161,79,34,1,244
1.3865068447722526,-1.6247846202125567,26,34,0,613
0.544730047071672,1.1175604719636467,72,18,0,395
0.19312368918439246,0.02062243509316531,79,1,0,291
0.011258331656489247,-1.4053970128384605,37,34,0,1174
0.5655146593605752,-0.19876517228093096,65,36,1,570
-0.9933312623071666,1.5563356867118392,104,39,0,729
0.9673504969460376,0.02062243509316531,72,34,0,1696
0.5083569755660914,0.2400100424672616,57,36,0,1663
-0.7092748943588225,1.2272542756506948,37,34,0,1454
1.6584388555520697,0.569091453528406,65,34,1,1930
1.6913478250095,1.1175604719636467,65,18,0,1553
0.2294967606899731,-0.8569279944032198,65,34,0,609
-0.025114739849091395,-0.3084589759679791,9,1,1,1385
-1.0418286909812742,1.336948079337743,97,31,0,45
0.8859440988145,1.336948079337743,9,1,1,1667
-0.976010752066414,1.5563356867118392,27,43,1,209
-1.3986312019407794,-0.5278465833420753,128,8,1,60
0.7543082209847796,1.6660294903988875,57,18,1,1308
-0.6677056697810161,0.13031623878021345,37,34,0,675
0.8547671803811451,-0.7472341907161717,65,36,1,977
-0.7335236086958763,-0.3084589759679791,72,36,0,1797
-0.023382688825016127,-0.08907136859388283,65,18,0,438
0.7491120679125537,1.4466418830247911,79,36,1,1513
-0.5083569755660914,-0.41815277965502723,57,36,0,947
0.44773518972345694,1.336948079337743,65,1,1,1993
-1.4869658041686182,-0.8569279944032198,37,13,0,66
0.6192082411069085,-0.7472341907161717,79,34,0,1833
-1.7277208965150805,-1.6247846202125567,12,7,0,735
0.38364930183267204,1.6660294903988875,57,34,1,757
1.5060183654334462,-0.3084589759679791,9,34,0,1492
1.0782017624868547,0.7884790609025023,37,34,1,98
-1.144019701401715,0.569091453528406,105,39,1,1155
1.3328132630259193,-1.5150908165255086,72,34,0,139
0.9292453744163817,-0.8569279944032198,79,18,1,1618
-0.8946043539348763,1.6660294903988875,59,42,0,376
-1.272191477183285,0.13031623878021345,59,23,0,366
-1.07993381351093,0.8981728645895504,26,37,0,899
